R_common_used,aggregation,alpha,auc_over_rounds,auc_over_time_of_round,dataset,final_acc_common_round,final_cvar10_error,final_gini_acc,final_jain_acc,final_min_acc,final_p10_acc,final_p90_acc,final_var_acc,max_acc_common_round,network_chunk_delivery_ratio,network_mean_latency_s,network_mean_packet_loss,network_p50_latency_s,network_p90_packet_loss,network_tx_count,num_nodes,runtime_s,seed,time_to_50,time_to_60,time_to_70,wall_time_s
1846,softSGD_s,0.1,165663.64375,80458.31912857294,mnist,95.71000000000001,9.060000000000002,0.013148573816738063,0.9993849286224129,90.07,92.008,97.728,5.6377700000000015,96.6775,0.8203618836802563,0.004741962168318327,0.1845177300990996,0.004861269734125102,0.2702893996373184,578997.0,20,1500,42,16.3530357665654,27.941276152147612,45.45537652515043,1500.6650335788727
1408,softGSD_c,0.1,63891.9215,37018.123376005286,mnist,45.744499999999995,71.065,0.13490528916044542,0.946683231932407,28.860000000000003,29.639999999999997,61.794000000000004,117.85198475,46.0655,0.8197952860594545,0.004750707166834033,0.18504243001004195,0.004872783606733709,0.2705263927490142,481104.0,20,1500,42,nan,nan,nan,1500.882482767105
1816,dflaa_s,0.1,115795.19325000001,56481.547312078714,mnist,72.33449999999999,48.545,0.08306582612722846,0.97709928137828,41.8,62.288999999999994,85.25700000000002,122.63131475000003,73.9265,0.8203770362927844,0.004741722694244615,0.1845033616546769,0.0048606398544895285,0.270299579778667,570426.0,20,1500,42,18.821671699553498,189.80187182983394,620.2385671178336,1500.6902947425842
1701,dflaa_c,0.1,79090.31925,42490.182724414706,mnist,47.05050000000001,72.50999999999999,0.12988225417370702,0.9501334723738158,26.040000000000003,29.308999999999997,60.15800000000001,116.18578475,48.808499999999995,0.8205320703267013,0.004739120757266576,0.18434724543599454,0.004858167059733089,0.27027085382586596,538765.0,20,1500,42,nan,nan,nan,1500.7054181098938
1725,softSGD_s,0.5,167295.13400000002,92307.62327934534,mnist,97.8785,4.434999999999995,0.004063967061203488,0.9999236877208554,95.37,96.99300000000001,98.504,0.7311427499999996,98.2415,0.8214855027598729,0.004726367589571266,0.183582055374276,0.004847298635724651,0.2699205643896469,516848.0,20,1500,42,5.472874879837036,5.472874879837036,5.5687607917383035,1500.6924636363983
1608,softGSD_c,0.5,129614.878,70784.69418571555,mnist,81.18499999999997,33.515,0.051278561310586834,0.9914754176095242,65.16999999999999,69.735,89.07199999999999,56.668634999999995,81.48899999999999,0.820929270590989,0.004734854073899082,0.18409124443394484,0.004856961786624318,0.27008442107589814,495593.0,20,1500,42,5.13600492477417,5.13600492477417,5.289843442230544,1500.6970517635345
1867,dflaa_s,0.5,173069.15099999998,84901.09862771808,mnist,94.6495,9.865000000000002,0.010679137237914693,0.9995452064202743,88.21,92.21300000000001,96.41799999999999,4.076134749999999,95.24249999999999,0.8213197505701282,0.004729003901892949,0.18374023411357696,0.004849436399430009,0.2699490534026843,556225.0,20,1500,42,5.303168535232544,5.303168535232544,5.431728681152542,1500.6391105651855
1873,dflaa_c,0.5,160155.71775,78942.71882866614,mnist,85.43300000000002,28.56499999999999,0.04332459354113749,0.9936053208266624,69.52000000000001,75.14999999999999,92.48299999999999,46.97385099999998,87.48649999999999,0.8213443797515182,0.0047290329866942525,0.18374197920165514,0.004849633545727807,0.2699533033824496,555915.0,20,1500,42,5.068037509918213,5.068037509918213,5.143395508238006,1500.5881333351135
