round,mean,p10,p50,p90
8.780000000000000000e+02,9.713100000000001444e+01,9.620799999999999841e+01,9.728999999999999204e+01,9.786300000000001376e+01
8.790000000000000000e+02,9.668100000000001160e+01,9.548300000000000409e+01,9.735000000000000853e+01,9.797100000000000364e+01
8.800000000000000000e+02,9.722399999999998954e+01,9.605800000000000693e+01,9.756000000000000227e+01,9.818200000000000216e+01
8.810000000000000000e+02,9.763349999999998374e+01,9.705800000000000693e+01,9.775499999999999545e+01,9.814300000000000068e+01
8.820000000000000000e+02,9.756699999999999307e+01,9.742900000000000205e+01,9.768999999999999773e+01,9.802799999999999159e+01
8.830000000000000000e+02,9.743799999999998818e+01,9.678899999999998727e+01,9.778999999999999204e+01,9.828600000000000136e+01
8.840000000000000000e+02,9.707200000000000273e+01,9.621999999999999886e+01,9.715000000000000568e+01,9.793000000000000682e+01
8.850000000000000000e+02,9.747249999999999659e+01,9.694599999999999795e+01,9.762999999999999545e+01,9.807200000000000273e+01
8.860000000000000000e+02,9.701949999999997942e+01,9.510600000000000875e+01,9.753499999999999659e+01,9.812199999999998568e+01
8.870000000000000000e+02,9.716849999999999454e+01,9.609600000000000364e+01,9.734999999999999432e+01,9.784300000000000352e+01
8.880000000000000000e+02,9.715550000000000352e+01,9.599699999999999989e+01,9.755500000000000682e+01,9.798100000000000875e+01
8.890000000000000000e+02,9.730350000000001387e+01,9.647499999999999432e+01,9.743000000000000682e+01,9.804900000000000659e+01
8.900000000000000000e+02,9.720499999999998408e+01,9.617100000000000648e+01,9.745499999999998408e+01,9.794799999999999329e+01
8.910000000000000000e+02,9.734450000000001069e+01,9.612399999999999523e+01,9.760999999999999943e+01,9.806000000000000227e+01
8.920000000000000000e+02,9.759450000000001069e+01,9.702800000000000580e+01,9.768000000000000682e+01,9.819899999999999807e+01
8.930000000000000000e+02,9.739749999999999375e+01,9.676399999999999579e+01,9.756000000000000227e+01,9.819300000000001205e+01
8.940000000000000000e+02,9.760449999999998738e+01,9.661399999999999011e+01,9.781999999999999318e+01,9.808499999999999375e+01
8.950000000000000000e+02,9.726400000000001000e+01,9.579600000000000648e+01,9.765000000000000568e+01,9.796599999999999397e+01
8.960000000000000000e+02,9.678449999999999420e+01,9.514600000000000080e+01,9.725999999999999091e+01,9.794499999999999318e+01
8.970000000000000000e+02,9.723099999999999454e+01,9.630100000000000193e+01,9.751000000000000512e+01,9.810199999999998965e+01
8.980000000000000000e+02,9.726900000000001967e+01,9.651999999999999602e+01,9.745499999999998408e+01,9.795399999999999352e+01
8.990000000000000000e+02,9.746099999999999852e+01,9.701100000000000989e+01,9.753499999999999659e+01,9.797900000000001342e+01
9.000000000000000000e+02,9.744800000000000750e+01,9.651099999999999568e+01,9.754500000000000171e+01,9.812699999999999534e+01
9.010000000000000000e+02,9.748349999999999227e+01,9.663199999999999079e+01,9.768500000000000227e+01,9.798700000000000898e+01
9.020000000000000000e+02,9.721450000000000102e+01,9.590299999999999159e+01,9.759000000000000341e+01,9.793999999999999773e+01
9.030000000000000000e+02,9.743500000000000227e+01,9.669299999999999784e+01,9.756999999999999318e+01,9.804600000000000648e+01
9.040000000000000000e+02,9.725249999999998352e+01,9.608700000000000330e+01,9.755000000000001137e+01,9.802399999999998670e+01
9.050000000000000000e+02,9.680149999999999011e+01,9.514799999999999613e+01,9.726999999999999602e+01,9.812799999999998590e+01
9.060000000000000000e+02,9.733799999999999386e+01,9.642100000000000648e+01,9.759499999999999886e+01,9.803300000000000125e+01
9.070000000000000000e+02,9.714499999999998181e+01,9.582800000000000296e+01,9.734000000000000341e+01,9.799499999999999034e+01
9.080000000000000000e+02,9.747299999999999898e+01,9.689400000000000546e+01,9.761499999999999488e+01,9.817799999999999727e+01
9.090000000000000000e+02,9.750699999999999079e+01,9.650799999999999557e+01,9.773000000000000398e+01,9.812699999999999534e+01
9.100000000000000000e+02,9.750399999999999068e+01,9.685800000000000409e+01,9.749000000000000909e+01,9.808000000000001251e+01
9.110000000000000000e+02,9.758500000000000796e+01,9.705799999999999272e+01,9.776000000000000512e+01,9.814799999999999613e+01
9.120000000000000000e+02,9.715449999999999875e+01,9.646500000000000341e+01,9.762999999999999545e+01,9.809300000000000352e+01
9.130000000000000000e+02,9.744900000000001228e+01,9.687800000000000011e+01,9.777000000000001023e+01,9.819599999999999795e+01
9.140000000000000000e+02,9.730550000000000921e+01,9.643500000000000227e+01,9.760999999999999943e+01,9.809199999999999875e+01
9.150000000000000000e+02,9.748399999999999466e+01,9.665800000000000125e+01,9.758500000000000796e+01,9.817000000000000171e+01
9.160000000000000000e+02,9.734200000000001296e+01,9.646399999999999864e+01,9.766500000000000625e+01,9.799099999999999966e+01
9.170000000000000000e+02,9.750749999999999318e+01,9.702500000000000568e+01,9.759999999999999432e+01,9.809300000000000352e+01
9.180000000000000000e+02,9.723400000000000887e+01,9.654000000000000625e+01,9.731499999999999773e+01,9.808100000000000307e+01
9.190000000000000000e+02,9.734250000000000114e+01,9.692699999999999250e+01,9.743999999999999773e+01,9.785600000000000875e+01
9.200000000000000000e+02,9.714400000000001967e+01,9.616499999999999204e+01,9.737000000000000455e+01,9.802499999999999147e+01
9.210000000000000000e+02,9.733550000000001035e+01,9.659699999999999420e+01,9.745500000000001251e+01,9.798999999999999488e+01
9.220000000000000000e+02,9.721550000000000580e+01,9.643899999999999295e+01,9.769999999999998863e+01,9.817499999999999716e+01
9.230000000000000000e+02,9.746149999999997249e+01,9.676500000000000057e+01,9.755000000000001137e+01,9.811799999999999500e+01
9.240000000000000000e+02,9.744299999999998363e+01,9.676200000000000045e+01,9.760499999999998977e+01,9.812299999999999045e+01
9.250000000000000000e+02,9.738900000000001000e+01,9.690200000000000102e+01,9.765999999999999659e+01,9.806199999999999761e+01
9.260000000000000000e+02,9.721000000000000796e+01,9.619700000000000273e+01,9.726999999999999602e+01,9.812099999999999511e+01
9.270000000000000000e+02,9.714650000000001739e+01,9.615699999999999648e+01,9.746000000000000796e+01,9.797500000000000853e+01
9.280000000000000000e+02,9.723399999999998045e+01,9.635999999999999943e+01,9.742499999999999716e+01,9.801299999999999102e+01
9.290000000000000000e+02,9.733549999999998192e+01,9.657699999999999818e+01,9.746999999999999886e+01,9.800300000000000011e+01
9.300000000000000000e+02,9.730800000000000693e+01,9.643600000000000705e+01,9.759000000000000341e+01,9.812099999999999511e+01
